DATE,indprod,income,sales,emp
2014-05-01,102.2912,11154.7,1166585.0,138556
2014-06-01,102.6511,11205.6,1166521.0,138862
2014-07-01,103.0383,11230.0,1173131.0,139058
2014-08-01,102.599,11297.4,1177328.0,139284
2014-09-01,102.6166,11333.9,1175770.0,139568
2014-10-01,102.5302,11408.9,1177585.0,139823
2014-11-01,103.4249,11483.4,1182149.0,140130
2014-12-01,103.1216,11532.7,1189586.0,140381
2015-01-01,102.563,11593.6,1188495.0,140592
2015-02-01,101.9932,11637.8,1184317.0,140859
2015-03-01,102.2575,11618.5,1192240.0,140937
2015-04-01,102.1754,11694.2,1197851.0,141219
2015-05-01,102.0433,11739.8,1190377.0,141545
2015-06-01,101.6539,11755.8,1191166.0,141736
2015-07-01,102.2682,11744.6,1192891.0,141992
2015-08-01,102.0202,11775.5,1195077.0,142156
2015-09-01,101.6251,11814.3,1208576.0,142244
2015-10-01,101.5789,11888.4,1204884.0,142595
2015-11-01,101.3394,11893.9,1204334.0,142859
2015-12-01,101.1156,11893.4,1205759.0,143093
2016-01-01,101.6916,11842.2,1204310.0,143196
2016-02-01,101.3068,11812.5,1210419.0,143453
2016-03-01,101.0894,11836.3,1216477.0,143688
2016-04-01,100.736,11872.7,1217324.0,143862
2016-05-01,100.6132,11891.3,1213020.0,143896
2016-06-01,100.9124,11920.9,1218397.0,144181
